Customer_ID,Gender,Age,Annual_Income,Product_Category,Average_Spend,Visits_per_Month,Add_to_Cart_Count,Wishlist_Count,Loyalty_Score,Customer_Tenure,Payment_Method,Discount_Usage,Referral_Source,Frequent_Buyer,Online_Shopper,Membership_Status,Usage_Time,Customer_Segment,Last_Purchase_Date,Churn
1,Male,34,130022,Beauty,1475.095155988027,22,22,2,1.1133676114460827,49,Credit Card,No,Social Media,Yes,No,Bronze,3.7058144064242,Medium,2024-01-01,0
2,Female,26,49257,Fashion,338.5690873633778,22,10,19,6.800365553685346,100,PayPal,No,Social Media,Yes,Yes,Silver,5.199827624838187,Low,2024-01-02,0
3,Male,50,107272,Fashion,1712.4876747080293,18,36,14,2.645780740793852,63,PayPal,Yes,Friend Referral,Yes,No,Silver,5.956950074785575,Low,2024-01-03,0
4,Male,37,62207,Electronics,1436.2251975305223,15,21,2,3.091636415929718,87,Credit Card,Yes,Google,No,Yes,Silver,5.594874989851651,High,2024-01-04,0
5,Male,30,33281,Fashion,1818.538477227926,17,3,19,6.72068798776036,32,Credit Card,Yes,Google,No,Yes,Gold,4.0287553931726166,Medium,2024-01-05,1
6,Female,45,81246,Electronics,308.1261391181963,29,28,13,9.936491192046164,10,PayPal,Yes,Social Media,No,Yes,Gold,3.4092389671379735,High,2024-01-06,0
7,Male,46,21435,Groceries,1206.3782757031654,14,43,15,7.999457401652956,11,PayPal,No,Direct,No,Yes,Silver,3.3196993223049778,High,2024-01-07,1
8,Male,30,118875,Electronics,1218.285140828634,14,33,16,3.032556690010528,102,Credit Card,No,Google,Yes,No,Silver,5.3003659769754226,Low,2024-01-08,0
9,Male,63,120686,Beauty,739.2484440662258,18,12,19,2.584222795370204,70,Cash on Delivery,No,Friend Referral,Yes,No,Bronze,4.21095766206405,Low,2024-01-09,1
10,Female,52,111357,Electronics,944.0095279100527,20,41,17,8.796095832409033,105,Credit Card,No,Direct,Yes,Yes,Bronze,6.86849185991383,High,2024-01-10,0
11,Male,23,46660,Groceries,124.06404841521427,18,8,17,4.997655531293539,62,PayPal,Yes,Direct,No,No,Silver,7.0602648824503405,Medium,2024-01-11,0
12,Male,35,25084,Beauty,1504.4270753226733,16,41,13,2.2334752254533994,47,PayPal,No,Direct,Yes,Yes,Silver,1.7792028350488884,Medium,2024-01-12,1
13,Male,22,102197,Home,1121.1788348361893,1,30,17,8.759902809897444,34,PayPal,Yes,Direct,Yes,Yes,Gold,1.5217523865929423,High,2024-01-13,0
14,Male,64,33507,Home,162.59505114488888,23,6,14,8.344831176228354,100,Credit Card,No,Google,Yes,No,Silver,5.228006945269996,High,2024-01-14,1
15,Female,42,92595,Electronics,1377.473991272947,27,3,14,9.855157275074472,101,PayPal,No,Social Media,No,Yes,Bronze,2.7591931104670957,Medium,2024-01-15,1
16,Male,19,103807,Electronics,960.2250506008164,11,18,5,9.187693180414156,17,Cash on Delivery,No,Direct,No,Yes,Gold,0.6392803907382414,Medium,2024-01-16,0
17,Female,27,65539,Groceries,117.19945587875,15,41,14,8.666113047944876,104,Debit Card,Yes,Friend Referral,No,Yes,Bronze,7.164820020222163,Medium,2024-01-17,0
18,Female,47,135953,Groceries,1940.735067353786,12,29,17,1.4731695802990283,104,Cash on Delivery,Yes,Friend Referral,Yes,Yes,Bronze,2.2017557543285617,High,2024-01-18,0
19,Female,62,27491,Fashion,1900.7686790244088,8,30,3,1.9397383254830622,54,Credit Card,No,Social Media,Yes,Yes,Gold,7.469604887643568,Low,2024-01-19,0
20,Male,22,147706,Groceries,1050.159711487035,22,34,7,6.120848748737105,76,PayPal,No,Google,Yes,No,Bronze,5.880758381586903,Medium,2024-01-20,0
21,Female,50,132831,Fashion,232.66122037652488,20,20,14,5.783313216536388,85,Credit Card,No,Social Media,Yes,No,Silver,6.219901174336132,Medium,2024-01-21,0
22,Male,18,70192,Beauty,1521.511382117254,6,30,2,5.12166893040582,40,Debit Card,Yes,Direct,No,No,Bronze,2.010961218448703,Medium,2024-01-22,0
23,Female,35,100395,Electronics,1009.2656452061716,3,18,14,4.571103928731258,19,Credit Card,Yes,Google,Yes,Yes,Gold,2.2564581921260967,High,2024-01-23,1
24,Female,49,143797,Beauty,639.7725826642908,28,30,12,4.88089436377896,67,PayPal,Yes,Google,No,Yes,Gold,4.409508153680493,Low,2024-01-24,0
